,address,code,name,state,zone,coordinates
6147,"Palayamkottai - Kolathur - Nagalapuram - Aruppukottai Rd, Tamil Nadu",NRK,NARAIKKINAR,Tamil Nadu,SR,"[77.841953, 8.862518999999999]"
6148,,GPW,GHAUNSPUR,,,"[75.6375275745, 31.8706261437]"
6149,"National Highway 64, Punjab",PTRL,PATHRALA,Punjab,NWR,"[74.74395299999999, 30.006625]"
6150,"Jairampur More to Baliapur, Jharkhand",PEH,Pathardih Junction,Jharkhand,ECR,"[86.4345602, 23.675524600000003]"
6151,,NIN,Nimkana,,,"[86.376438, 20.295401]"
6152,,NIT,Naikot,,,"[83.396612, 27.361006]"
6153,,KAMA,Kamta Halt,,,"[85.27791552000001, 25.336743948]"
6154,"Haldia Mechada via Tamluk, West Bengal",NDKR,Nandakumar P.H.,West Bengal,?,"[87.927872196, 22.1909239649]"
6155,,RNU,Ratnapur,,,"[76.651361, 21.474117]"
6156,"National Highway 3, Madhya Pradesh",BMZ,Bamour Gaon,Madhya Pradesh,NCR,"[78.0778607251, 26.3484669242]"
6157,"National Highway 44, Assam",BXG,Bhanga,Assam,NFR,"[92.457351, 24.857347]"
6158,,BORA,Bagdogra,,,"[88.32445458000001, 26.697770440000003]"
6159,,PTMS,Pattabiram Military,,,"[80.05975199999999, 13.136714000000001]"
6160,,LHNR,Lakshmanpur Halt,,,"[82.3397643762, 27.5318304825]"
6161,,LHNA,Lohanda,,,"[85.27902379519999, 25.3541150645]"
6162,,KLNC,Kullanchavadi,,,"[79.667563, 11.628136]"
6163,,PGDI,Pagidirai Halt,,,"[77.60155400000001, 15.283]"
6164,"State Highway 38, Uttar Pradesh",JPD,Jalalpur Dhai,Uttar Pradesh,?,"[81.13597700000001, 26.021201]"
6165,,BGV,Balegundi,,,"[75.11856523189999, 14.150947457100001]"
6166,,BGY,Bangriposi,,,"[86.501362, 22.130678]"
6167,,KMEZ,Kumar Maranga,,,"[81.94987, 19.038845]"
6168,,BLSR,Belasar,,,"[73.653205, 27.995122]"
6169,,SHYP,Sakarayapatna,,,"[75.92847693120001, 13.430423881200001]"
6170,"National Highway 44, Tripura",JWNR,Jawaharnagar,Tripura,NFR,"[91.895623, 23.924910999999998]"
6171,,RJLK,Rajalukah,,,"[86.64224200000001, 22.125193]"
6172,"State Highway 61, Rajasthan",MRWS,Marwar Ranawas,Rajasthan,NWR,"[73.739883, 25.669354]"
6173,"MDR 11A, Madhya Pradesh",NMH,NIMACH,Madhya Pradesh,WR,"[74.853025, 24.459872999999998]"
6174,"Suraincha, Uttar Pradesh",SUIA,SURAINCHA,Uttar Pradesh,NER,"[80.830108, 27.33652]"
6175,"Thirunedukulam To Paper Mill Rd, Tamil Nadu",SGM,SOLGAMPATTI,Tamil Nadu,SR,"[78.858717, 10.785689]"
6176,"State Highway 39, Uttar Pradesh",DN,DHANARI,Uttar Pradesh,NR,"[78.50959573360001, 28.3284610746]"
6177,"Surendra Nagar, Gujarat",JVN,JORAWARNAGAR JN,Gujarat,WR,"[71.641594, 22.71246]"
6178,"National Highway 117, West Bengal",UKLR,Ukilerhat Halt,West Bengal,ER,"[88.230351, 21.824712]"
6179,"Nagappattinam - Trichy - Karur- Coimbatore - Mettupalayam - Ooty - Gundlupet Road(Vandikara Street), Tamil Nadu",KOQ,KUTHUR,Tamil Nadu,SR,"[79.718883, 10.755434000000001]"
6180,"Mariammankoil Railway Station Rd, Tamil Nadu",MAV,MARIAMMANKOVIL,Tamil Nadu,SR,"[79.198201, 10.773265]"
6181,"Bengaluru, Karnataka",BLRR,Belandur Road,Karnataka,SWR,"[77.706939, 12.936565]"
6182,"Shrimad Dwarakapuri, Uttar Pradesh",SRDW,SHRIMAD DWARAKAPURI,Uttar Pradesh,NCR,"[79.56963800000001, 27.364691]"
6183,"Madhya Pradesh, Madhya Pradesh",SKBR,SHANKARPUR BHADAURA,Madhya Pradesh,WCR,"[81.93144699999999, 24.083218]"
6184,"Gadarwara, Madhya Pradesh",SCKR,SALICHAUKA ROAD,Madhya Pradesh,WCR,"[78.67629099999999, 22.833649]"
6185,"Pali, Rajasthan",GGO,Goram Ghat,Rajasthan,NWR,"[73.849246, 25.635531]"
6186,"Najafgarh Road Industrial Area, Delhi NCT",PTNR,PATEL NAGAR,Delhi NCT,NR,"[77.15626035310001, 28.660009076599998]"
6187,"Bridge over Krishnanagore, West Bengal",BGO,BOGRI ROAD,West Bengal,SER,"[87.325732, 22.881747]"
6188,"State Highway 11, West Bengal",BNKA,Bankim Nagar,West Bengal,ER,"[88.59190873, 23.209058770000002]"
6189,"Mahishadal Geonkhali Rd, West Bengal",SSPH,Satish Samanta P.H.,West Bengal,?,"[87.987567, 22.194485]"
6190,"State Highway 33, Uttar Pradesh",RGB,RAMGANGA,Uttar Pradesh,NR,"[79.375029, 28.298118]"
6191,"Chikkajajur, Karnataka",JRU,CHIKJAJUR JN,Karnataka,SWR,"[76.138705, 14.126112]"
6192,"Pettavaithalai, Tamil Nadu",PLI,PETTAIVAYATALAI,Tamil Nadu,SR,"[78.495114, 10.898665999999999]"
6193,"West Godavari, Andhra Pradesh",AVLI,ARAVALLI,Andhra Pradesh,SCR,"[81.599095, 16.620491]"
6194,,KHST,KASHANATTI,,,"[74.8295941504, 15.4642781905]"
6195,"National Highway 206, Karnataka",HVL,HONNAVALLI ROAD,Karnataka,SWR,"[76.39004938960001, 13.2744988982]"
6196,"Tiptur, Karnataka",SSNH,SREE SARADANAGAR HALT,Karnataka,SWR,"[76.454627, 13.260739]"
6197,"Chandsara, Uttar Pradesh",CXA,Chandsara,Uttar Pradesh,NR,"[77.725745, 28.876213999999997]"
6198,,BTIB,BHATINDA B CABIN,,,"[74.940231, 30.150805]"
6199,"Sonebhadra, Uttar Pradesh",ANPR,Anpara,Uttar Pradesh,ECR,"[82.766166, 24.217385999999998]"
6200,"Chitravad And Borvav Railway Station, Gujarat",CTRD,Chitrawad,Gujarat,WR,"[70.557048, 21.101116]"
6201,"Tondalagopavaram Station, Andhra Pradesh",TNGM,TONDALAGOPAVARAM,Andhra Pradesh,SCR,"[80.43078299999999, 16.86827]"
6202,,KHSN,KHERA SANDHAN HALT,,,"[77.72704800000001, 27.240587]"
6203,"kapurthala, Punjab",RCF,KAPURTHALA RAIL COACH FACTORY,Punjab,NR,"[75.34282, 31.326976000000002]"
6204,"National Highway 78, Madhya Pradesh",UKR,UDALKACHAR,Madhya Pradesh,SECR,"[82.291923, 23.287243]"
6205,,FAH,FATEHA HALT,,,"[85.8714580536, 25.598419045]"
6206,"MDR 11A, Rajasthan",BIWK,BISALWAS KALAN,Rajasthan,WR,"[74.78308399999999, 24.500035299999997]"
6207,"Cuddalore, Tamil Nadu",TDPR,TIRUPADRIPULYUR,Tamil Nadu,SR,"[79.753349, 11.748883]"
6208,"Telangana Region, Andhra Pradesh",GOPL,GUNDLA POCHAMPALLI,Andhra Pradesh,SCR,"[78.48785099999999, 17.567577]"
6209,,SNPH,SHANKAPUR HALT,,,"[78.4021040503, 18.0661191061]"
6210,"Nagappattinam - Trichy - Karur- Coimbatore - Mettupalayam - Ooty - Gundlupet Road(Vandikara Street), Tamil Nadu",TMU,TIRUMANTHIKUNAM,Tamil Nadu,SR,"[79.534339, 10.767733999999999]"
6211,,PURA,PURA HALT,,,"[85.239725, 24.815193999999998]"
6212,"Bihar, Bihar",TMA,Tamuria,Bihar,ECR,"[86.352761, 26.245715]"
6213,"Paralakhemundi, Andhra Pradesh",TMB,Temburu,Andhra Pradesh,ECoR,"[84.12696299999999, 18.633565]"
6214,,SKBN,SILAKHEDI,,,"[76.057298, 23.093053]"
6215,"Swamimalai, Tamil Nadu",SWI,SWAMIMALAI,Tamil Nadu,SR,"[79.32878500000001, 10.942234]"
6216,"Devas, Madhya Pradesh",RCJ,RANYAL JASMIYA,Madhya Pradesh,WR,"[76.072554, 23.161929]"
6217,"Jhilmil Industrial Area, Delhi NCT",VVB,VIVEKA VIHAR,Delhi NCT,NR,"[77.31951000000001, 28.673319000000003]"
6218,"State Highway 9, Madhya Pradesh",BARD,DUVRI KALAN,Madhya Pradesh,WCR,"[81.507968, 23.994180999999998]"
6219,"National Highway 121, Uttarakhand",GWS,GAUSHALA,Uttarakhand,NER,"[79.009802, 29.298626000000002]"
6220,"local Rd, Assam",NJN,NAOJAN,Assam,NFR,"[93.846465, 26.13131]"
6221,"East Godavari, Andhra Pradesh",CCT,KAKINADA TOWN,Andhra Pradesh,SCR,"[82.2329218, 16.9670099]"
6222,"Putlacheruvu, Andhra Pradesh",MVP,MOKHASA KALVPDI,Andhra Pradesh,SCR,"[81.13029, 16.495533000000002]"
6223,"Dibrugarh, Assam",DBRT,DIBRUGARH TOWN,Assam,NFR,"[94.9019739417, 27.4781132774]"
6224,"Nagercoil, Tamil Nadu",NJT,NAGERCOIL TOWN,Tamil Nadu,SR,"[77.4194318207, 8.199571810899998]"
6225,"Nagappattinam - Gundlupet Road(Vandikara Street), Tamil Nadu",MMH,MAHADANAPURAM,Tamil Nadu,SR,"[78.299178, 10.953711]"
6226,"Basni, Rajasthan",HWT,HANWANT,Rajasthan,NWR,"[73.005205, 26.059514]"
6227,"Gwalior, Madhya Pradesh",GWO,Gwalior NG,Madhya Pradesh,NCR,"[78.182282, 26.216473]"
6228,"Kulthamabdullashah, Punjab",KASH,Kulthamabdullashah Halt,Punjab,NR,"[75.848386, 31.203335000000003]"
6229,"SH 66, Rajasthan",BMSN,Bamsin,Rajasthan,NWR,"[72.5442353925, 25.762982552100002]"
6230,"Dhaka, Bangladesh",DHCA,Dhaca Cantt.,Bangladesh,?,"[90.410617, 23.815527]"
6231,,SAKD,Suprakandi,,,"[92.37868, 24.788432999999998]"
6232,,KRRI,Khairranji,,,"[80.03937900000001, 22.419012000000002]"
6233,"Lucknow Allahabad Rd, Uttar Pradesh",RCP,Ramachandrapur,Uttar Pradesh,NR,"[81.267274, 25.996484000000002]"
6234,"Gauntra, Uttar Pradesh",GNTR,Gauntra Halt,Uttar Pradesh,NR,"[80.21785643429999, 27.134445803800002]"
6235,,NAVI,Navi Amravati,,,"[77.732428, 20.902137]"
6236,"Fatehnagar, Rajasthan",FAN,Fatehnagar,Rajasthan,NWR,"[74.09578200000001, 24.81828]"
6237,"SH 159, Gujarat",CCP,Chhuchhapura Junction,Gujarat,WR,"[73.594519, 22.214729000000002]"
6238,,CIF,Chhapra Kacheri Jn.,,,"[84.746619, 25.786151]"
6239,,CCO,Chicholi,,,"[79.702691, 21.458741]"
6240,"Ranaghat-Bagula Bypass, West Bengal",BHGH,Bhairgachhi,West Bengal,ER,"[88.634016, 23.274779]"
6241,"State Highway 11A, Madhya Pradesh",BHV,Bhoma,Madhya Pradesh,SECR,"[79.689457, 22.171372]"
6242,"Wadwal Nagnath, Maharashtra",WDLN,WADWAL NAGNATH,Maharashtra,SCR,"[76.80741, 18.538466]"
6243,,BRHD,BABA RAGHUNI HALT DWARIKA,,,"[86.5967982178, 25.7600467439]"
6244,"Rayalaseema Region, Andhra Pradesh",TKBN,TSAKIBANDA,Andhra Pradesh,SWR,"[77.178109, 15.163457000000001]"
6245,"National Highway 26, Madhya Pradesh",KFY,KARAPGAON,Madhya Pradesh,WCR,"[78.9845402875, 22.9155569073]"
